# Latin key <TAB> Devanagari word - generated from ne-words.sqlite3.
# Sorted by UTF-8 byte order, which is what fst's SetBuilder requires.
# Regenerate with tools/mkwords.py; do not hand-edit.
DaDhelo	डढेलो
alpasankhya	अल्पसङ्ख्या
alpasankhyaa	अल्पसङ्ख्या
alpasankhyak	अल्पसङ्ख्यक
alpasa~Nkhyaa	अल्पसङ्ख्या
alpasa~Nkhyak	अल्पसङ्ख्यक
altimetam	अल्टिमेटम
alu	आलु
am	आम
amRRit	अमृत
ama	आमा
amaa	आमा
amaanaviiy	अमानवीय
amaanaviy	अमानवीय
amaaty	अमात्य
amajanata	आमजनता
amajanataa	आमजनता
amala	अमला
amalaa	अमला
amalekh	अमलेख
amanaviiy	अमानवीय
amanaviy	अमानवीय
amantrit	आमन्त्रित
amar	अमर
amasanchaar	आमसञ्चार
amasanchar	आमसञ्चार
amaty	अमात्य
amba	अम्बा
ambaa	अम्बा
amdaani	आम्दानी
amdaanii	आम्दानी
amdani	आम्दानी
amdanii	आम्दानी
amerikaali	अमेरिकाली
amerikaalii	अमेरिकाली
amerikali	अमेरिकाली
amerikalii	अमेरिकाली
amerikan	अमेरिकन
ameriki	अमेरिकी
amerikii	अमेरिकी
amilo	अमिलो
amrit	अमृत
amuly	अमूल्य
amurt	अमूर्त
amuuly	अमूल्य
amuurt	अमूर्त
an	आङ
ana	आना
anaa	आना
anaahak	अनाहक
anaaj	अनाज
anaakaani	आनाकानी
anaakaanii	आनाकानी
anaakani	आनाकानी
anaakanii	आनाकानी
anaastha	अनास्था
anaasthaa	अनास्था
anaath	अनाथ
anaavashyak	अनावश्यक
anaayaas	अनायास
anaayas	अनायास
anabhijn	अनभिज्ञ
anabhijnata	अनभिज्ञता
anabhijnataa	अनभिज्ञता
anabhij~n	अनभिज्ञ
anabhij~nataa	अनभिज्ञता
anadhikRRit	अनधिकृत
anadhikrit	अनधिकृत
anaginti	अनगिन्ती
anagintii	अनगिन्ती
anahak	अनाहक
anaitik	अनैतिक
anaj	अनाज
anakaani	आनाकानी
anakaanii	आनाकानी
anakani	आनाकानी
anakanii	आनाकानी
analaain	अनलाइन
analain	अनलाइन
anamol	अनमोल
anand	आनन्द
anandit	आनन्दित
anant	अनन्त
anany	अनन्य
anapekShit	अनपेक्षित
anapekshit	अनपेक्षित
anarth	अनर्थ
anasan	अनसन
anashan	अनशन
anastha	अनास्था
anasthaa	अनास्था
anath	अनाथ
anauTho	अनौठो
anaupachaarik	अनौपचारिक
anaupacharik	अनौपचारिक
anautho	अनौठो
anavarat	अनवरत
anavashyak	अनावश्यक
anavik	आणविक
anayaas	अनायास
anayas	अनायास
anchal	अञ्चल
anchalaadhiish	अञ्चलाधीश
anchalaadhish	अञ्चलाधीश
anchaladhiish	अञ्चलाधीश
anchaladhish	अञ्चलाधीश
anda	अण्डा
andaa	अण्डा
andaaj	अन्दाज
andaaji	अन्दाजी
andaajii	अन्दाजी
andaj	अन्दाज
andaji	अन्दाजी
andajii	अन्दाजी
andhaadhundh	अन्धाधुन्ध
andhadhundh	अन्धाधुन्ध
andhakaar	अन्धकार
andhakar	अन्धकार
andhaveg	अन्धवेग
andhavishvaas	अन्धविश्वास
andhavishvas	अन्धविश्वास
andho	अन्धो
andolan	आन्दोलन
andolanakaari	आन्दोलनकारी
andolanakaarii	आन्दोलनकारी
andolanakari	आन्दोलनकारी
andolanakarii	आन्दोलनकारी
andolanarat	आन्दोलनरत
andolit	आन्दोलित
andro	आन्द्रो
anek	अनेक
anekan	अनेकन
anekauM	अनेकौं
anekaun	अनेकौं
anekavachan	अनेकवचन
ang	अङ्ग
angaalchh	अङ्गाल्छ
angaalda	अङ्गाल्दा
angaaldaa	अङ्गाल्दा
angaaldai	अङ्गाल्दै
angaale	अङ्गाले
angaaleko	अङ्गालेको
angaalne	अङ्गाल्ने
angaalnu	अङ्गाल्नु
angaalo	अङ्गालो
angaalyo	अङ्गाल्यो
angabhang	अङ्गभङ्ग
angalchh	अङ्गाल्छ
angalda	अङ्गाल्दा
angaldaa	अङ्गाल्दा
angaldai	अङ्गाल्दै
angale	अङ्गाले
angaleko	अङ्गालेको
angalne	अङ्गाल्ने
angalnu	अङ्गाल्नु
angalo	अङ्गालो
angalyo	अङ्गाल्यो
angiikaar	अङ्गीकार
angiikar	अङ्गीकार
angikaar	अङ्गीकार
angikar	अङ्गीकार
angrej	अंग्रेज
angreji	अंग्रेजी
angrejii	अंग्रेजी
angur	अङ्गुर
ani	अनि
aniShT	अनिष्ट
anikaal	अनिकाल
anikal	अनिकाल
anishchit	अनिश्चित
anishchitakaaliin	अनिश्चितकालीन
anishchitakaalin	अनिश्चितकालीन
anishchitakaliin	अनिश्चितकालीन
anishchitakalin	अनिश्चितकालीन
anishchitata	अनिश्चितता
anishchitataa	अनिश्चितता
anisht	अनिष्ट
anivaary	अनिवार्य
anivaaryata	अनिवार्यता
anivaaryataa	अनिवार्यता
anivary	अनिवार्य
anivaryata	अनिवार्यता
anivaryataa	अनिवार्यता
aniyamit	अनियमित
aniyamitata	अनियमितता
aniyamitataa	अनियमितता
aniyantrit	अनियन्त्रित
ank	अंक
ank	अङ्क
ankaganit	अंकगणित
ankaganit	अङ्कगणित
ankal	अङ्कल
ankamaal	अङ्कमाल
ankamal	अङ्कमाल
ankit	अङ्कित
ann	अन्न
annapaat	अन्नपात
annapat	अन्नपात
ansh	अंश
anshik	आंशिक
ant	अन्त
antaHshulk	अन्तःशुल्क
antahshulk	अन्तःशुल्क
antar	अन्तर
antaraal	अन्तराल
antarajaatiiy	अन्तरजातीय
antarajaatiy	अन्तरजातीय
antarajatiiy	अन्तरजातीय
antarajatiy	अन्तरजातीय
antarakriya	अन्तरक्रिया
antarakriyaa	अन्तरक्रिया
antaral	अन्तराल
antarang	अन्तरङ्ग
antarasambandh	अन्तरसम्बन्ध
antaravaarta	अन्तरवार्ता
antaravaartaa	अन्तरवार्ता
antaravarta	अन्तरवार्ता
antaravartaa	अन्तरवार्ता
antaravirodh	अन्तरविरोध
antara~Ng	अन्तरङ्ग
antardvandv	अन्तर्द्वन्द्व
antargat	अन्तर्गत
antarik	आन्तरिक
antarikSh	अन्तरिक्ष
antariksh	अन्तरिक्ष
antarim	अन्तरिम
antarkriya	अन्तर्क्रिया
antarkriyaa	अन्तर्क्रिया
antarman	अन्तर्मन
antarnihit	अन्तर्निहित
antarraaShTriy	अन्तर्राष्ट्रिय
antarraashtriy	अन्तर्राष्ट्रिय
antarrashtriy	अन्तर्राष्ट्रिय
antarsaMvaad	अन्तर्संवाद
antarsanvaad	अन्तर्संवाद
antarsanvad	अन्तर्संवाद
antaskaraN	अन्तस्करण
antaskaran	अन्तस्करण
antataH	अन्ततः
antatah	अन्ततः
antatogatva	अन्ततोगत्वा
antatogatvaa	अन्ततोगत्वा
antim	अन्तिम
anty	अन्त्य
antyeShTi	अन्त्येष्टि
antyeshti	अन्त्येष्टि
anuShThaan	अनुष्ठान
anubhav	अनुभव
anubhavi	अनुभवी
anubhavii	अनुभवी
anubhut	अनुभूत
anubhuti	अनुभूति
anubhuut	अनुभूत
anubhuuti	अनुभूति
anuchchhed	अनुच्छेद
anuchit	अनुचित
anudaan	अनुदान
anudaar	अनुदार
anudan	अनुदान
anudar	अनुदार
anugRRihiit	अनुगृहीत
anugaman	अनुगमन
anugrah	अनुग्रह
anugrihiit	अनुगृहीत
anugrihit	अनुगृहीत
anuhaar	अनुहार
anuhar	अनुहार
anuj	अनुज
anukaraN	अनुकरण
anukaraNiiy	अनुकरणीय
anukaran	अनुकरण
anukaraniiy	अनुकरणीय
anukaraniy	अनुकरणीय
anukul	अनुकूल
anukulata	अनुकूलता
anukulataa	अनुकूलता
anukuul	अनुकूल
anukuulata	अनुकूलता
anukuulataa	अनुकूलता
anumaan	अनुमान
anumaanit	अनुमानित
anuman	अनुमान
anumanit	अनुमानित
anumati	अनुमति
anumatipatr	अनुमतिपत्र
anumodan	अनुमोदन
anunay	अनुनय
anupaat	अनुपात
anupam	अनुपम
anupasthit	अनुपस्थित
anupasthiti	अनुपस्थिति
anupat	अनुपात
anupayukt	अनुपयुक्त
anuraag	अनुराग
anurag	अनुराग
anurodh	अनुरोध
anurup	अनुरूप
anuruup	अनुरूप
anusaar	अनुसार
anusandhaan	अनुसन्धान
anusandhaanaatmak	अनुसन्धानात्मक
anusandhaanakarta	अनुसन्धानकर्ता
anusandhaanakartaa	अनुसन्धानकर्ता
anusandhaanatmak	अनुसन्धानात्मक
anusandhaata	अनुसन्धाता
anusandhaataa	अनुसन्धाता
anusandhan	अनुसन्धान
anusandhanaatmak	अनुसन्धानात्मक
anusandhanakarta	अनुसन्धानकर्ता
anusandhanakartaa	अनुसन्धानकर्ता
anusandhanatmak	अनुसन्धानात्मक
anusandhata	अनुसन्धाता
anusandhataa	अनुसन्धाता
anusar	अनुसार
anusaraN	अनुसरण
anusaran	अनुसरण
anushaasan	अनुशासन
anushaasit	अनुशासित
anushasan	अनुशासन
anushasit	अनुशासित
anushthaan	अनुष्ठान
anushthan	अनुष्ठान
anusuchi	अनुसूची
anusuchii	अनुसूची
anusuuchi	अनुसूची
anusuuchii	अनुसूची
anutpaadak	अनुत्पादक
anutpadak	अनुत्पादक
anuttarit	अनुत्तरित
anuvaad	अनुवाद
anuvaadak	अनुवादक
anuvad	अनुवाद
anuvadak	अनुवादक
anuyaayi	अनुयायी
anuyaayii	अनुयायी
anuyayi	अनुयायी
anuyayii	अनुयायी
anveShaN	अन्वेषण
anveShak	अन्वेषक
anveshak	अन्वेषक
anveshan	अन्वेषण
any	अन्य
anyaay	अन्याय
anyamanask	अन्यमनस्क
anyatha	अन्यथा
anyathaa	अन्यथा
anyatr	अन्यत्र
anyay	अन्याय
anyol	अन्योल
ap	आँप
apaang	अपाङ्ग
apaa~Ng	अपाङ्ग
apabhraMsh	अपभ्रंश
apabhransh	अपभ्रंश
apadasth	अपदस्थ
apaharaN	अपहरण
apaharaNakaarii	अपहरणकारी
apaharan	अपहरण
apaharanakaari	अपहरणकारी
apaharanakaarii	अपहरणकारी
apaharanakari	अपहरणकारी
apaharanakarii	अपहरणकारी
apaharit	अपहरित
apahelana	अपहेलना
apahelanaa	अपहेलना
apahelit	अपहेलित
apamaan	अपमान
apamaanit	अपमानित
apaman	अपमान
apamanit	अपमानित
apanaae	अपनाए
apanaaeko	अपनाएको
apanaauchh	अपनाउँछ
apanaaudai	अपनाउँदै
apanaaune	अपनाउने
apanaaunu	अपनाउनु
apanaau~chh	अपनाउँछ
apanaau~dai	अपनाउँदै
apanaayo	अपनायो
apanae	अपनाए
apanaeko	अपनाएको
apanauchh	अपनाउँछ
apanaudai	अपनाउँदै
apanaune	अपनाउने
apanaunu	अपनाउनु
apanayo	अपनायो
apang	अपाङ्ग
aparaadh	अपराध
aparaadhi	अपराधी
aparaadhii	अपराधी
aparaadhik	आपराधिक
aparaahn	अपराह्न
aparadh	अपराध
aparadhi	अपराधी
aparadhii	अपराधी
aparadhik	आपराधिक
aparahn	अपराह्न
apareTar	अपरेटर
aparetar	अपरेटर
aparichit	अपरिचित
aparihaary	अपरिहार्य
aparihaaryata	अपरिहार्यता
aparihaaryataa	अपरिहार्यता
aparihary	अपरिहार्य
apariharyata	अपरिहार्यता
apariharyataa	अपरिहार्यता
aparivartaniiy	अपरिवर्तनीय
aparivartaniy	अपरिवर्तनीय
aparyaapt	अपर्याप्त
aparyapt	अपर्याप्त
apas	आपस
apasi	आपसी
apasii	आपसी
apat	आपत
apatti	आपत्ति
apattijanak	आपत्तिजनक
apavaad	अपवाद
apavad	अपवाद
apavitr	अपवित्र
apekShaa	अपेक्षा
apekShaakRRit	अपेक्षाकृत
apekShit	अपेक्षित
apeksha	अपेक्षा
apekshaa	अपेक्षा
apekshaakrit	अपेक्षाकृत
apekshakrit	अपेक्षाकृत
apekshit	अपेक्षित
aphant	आफन्त
aphasos	अफसोस
aphis	अफिस
aphisar	अफिसर
aphriki	अफ्रिकी
aphrikii	अफ्रिकी
aphu	आफू
aphuu	आफू
apil	अपिल
apitu	अपितु
apraakRRitik	अप्राकृतिक
apraakritik	अप्राकृतिक
aprajaataantrik	अप्रजातान्त्रिक
aprajaatantrik	अप्रजातान्त्रिक
aprajataantrik	अप्रजातान्त्रिक
aprajatantrik	अप्रजातान्त्रिक
aprakaashit	अप्रकाशित
aprakashit	अप्रकाशित
aprakritik	अप्राकृतिक
apratyaashit	अप्रत्याशित
apratyakSh	अप्रत्यक्ष
apratyaksh	अप्रत्यक्ष
apratyashit	अप्रत्याशित
apravaasi	आप्रवासी
apravaasii	आप्रवासी
apravasi	आप्रवासी
apravasii	आप्रवासी
apresan	अप्रेसन
april	अप्रिल
apriy	अप्रिय
apsara	अप्सरा
apsaraa	अप्सरा
apug	अपुग
